section_id,section_title,topic_id,topic_title,question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS011,"A 75-year-old woman with stable HFrEF (LVEF 32%) on optimal medical therapy is reviewed in clinic. Her current medication is bisoprolol 10 mg OD, dapagliflozin 10 mg OD, ramipril 10 mg OD, and spironolactone 25 mg OD. She remains symptomatic (NYHA class II-III) and her resting heart rate is 78 bpm and in sinus rhythm. Her BP is 116/72 mmHg. Which is the most appropriate next step?",add furosemide 40 mg OD,add ivabradine,increase bisoprolol to 12.5 mg OD,switch ramipril to sacubitril/valsartan,switch spironolactone to eplerenone,switch ramipril to sacubitril/valsartan,"Per NICE TA388 and NG106, sacubitril/valsartan (Entresto) is recommended for patients with symptomatic HFrEF (NYHA class II-IV, LVEF ≤35%) already on optimal therapy including an ACE inhibitor or ARB. A 36-hour washout is required when switching from an ACE inhibitor to avoid angioedema. Ivabradine is only indicated if HR ≥75 bpm in sinus rhythm AND patient is on optimised therapy (this patient's HR is 78 but they have not had a full optimisation trial of sacubitril/valsartan yet). Bisoprolol is already at maximum licensed dose. Furosemide does not improve prognosis. Eplerenone is an alternative MRA but offers no advantage over spironolactone for prognosis."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS012,"An 81-year-old man with chronic heart failure is admitted with acute pulmonary oedema. He is acutely breathless, has bilateral basal crackles, and his oxygen saturations are 88% on air. His regular medication is bisoprolol 5 mg OD, dapagliflozin 10 mg OD, furosemide 40 mg OD, ramipril 5 mg OD, and spironolactone 25 mg OD. Which is the most appropriate immediate management?","high-flow oxygen, IV furosemide and consider IV GTN",intravenous adrenaline and IV hydrocortisone,intravenous fluids and IV antibiotics,intubation and IV digoxin,intravenous magnesium sulfate and IV salbutamol,"high-flow oxygen, IV furosemide and consider IV GTN","Per NICE NG106 (acute heart failure) and Resuscitation Council UK guidance: immediate management of acute pulmonary oedema includes sitting the patient upright, high-flow oxygen to maintain SpO₂ >94%, intravenous loop diuretic (furosemide bolus), and consideration of IV GTN for vasodilation if SBP >110 mmHg. Non-invasive ventilation (CPAP) may be added. IV fluids are contraindicated in acute pulmonary oedema (would worsen congestion). Salbutamol/adrenaline/hydrocortisone are for anaphylaxis or severe asthma. Digoxin is not first-line acute management."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS013,"A 76-year-old woman with non-valvular atrial fibrillation is being started on apixaban for stroke prevention. She weighs 72 kg and her serum creatinine is 105 micromol/L. The dose-reduction criteria for apixaban in non-valvular AF are: reduce to 2.5 mg twice daily if at least 2 of the following apply — age ≥80 years, body weight ≤60 kg, serum creatinine ≥133 micromol/L. Which is the most appropriate dose of apixaban?",2.5 mg once daily,2.5 mg twice daily,5 mg once daily,5 mg twice daily,10 mg twice daily,5 mg twice daily,"Per BNF apixaban monograph and the SmPC, the standard non-valvular AF dose is 5 mg twice daily. The reduced 2.5 mg twice daily dose is only used if at least 2 of 3 criteria are met: age ≥80, weight ≤60 kg, creatinine ≥133 micromol/L. This patient meets none of these (age 76, weight 72, creatinine 105), so the standard 5 mg BD applies."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS014,"An 82-year-old woman with newly diagnosed atrial fibrillation is being assessed for stroke prevention. She has hypertension, type 2 diabetes, and had a TIA 3 years ago. She has no significant bleeding history. Her CHA₂DS₂-VASc score is 7 (age ≥75 = 2, female = 1, hypertension = 1, diabetes = 1, prior TIA = 2). What does this score indicate, and what is the recommended intervention?",low risk; no antithrombotic therapy required,low-moderate risk; offer aspirin 75 mg OD,moderate risk; consider DOAC after further assessment,high risk; offer DOAC for stroke prevention,very high risk; offer warfarin in preference to DOAC,high risk; offer DOAC for stroke prevention,"Per NICE NG196 (atrial fibrillation): a CHA₂DS₂-VASc score of ≥2 in women or ≥1 in men indicates a level of stroke risk where anticoagulation should be offered. DOACs (apixaban, dabigatran, edoxaban, rivaroxaban) are first-line over warfarin for non-valvular AF. Aspirin is not recommended for stroke prevention in AF. The HAS-BLED score should also be calculated to assess bleeding risk and identify modifiable risk factors, but a high HAS-BLED is not a reason to withhold anticoagulation in someone at high stroke risk."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS015,A 68-year-old man with paroxysmal AF is taking warfarin 5 mg OD with a target INR of 2.0-3.0. His most recent INR is 5.8 (no bleeding) and he reports that he started a course of clarithromycin 500 mg BD 4 days ago for a chest infection. Which is the most likely explanation for the elevated INR?,Clarithromycin causes direct inhibition of vitamin K reductase,Clarithromycin displaces warfarin from plasma protein binding sites,"Clarithromycin induces CYP enzymes, increasing warfarin metabolism","Clarithromycin inhibits CYP3A4 and CYP2C9, increasing warfarin levels",Clarithromycin reduces warfarin renal clearance,"Clarithromycin inhibits CYP3A4 and CYP2C9, increasing warfarin levels","Per BNF interactions appendix and the Stockley's Drug Interactions reference: clarithromycin is a potent inhibitor of CYP3A4 and to a lesser extent CYP2C9 (the main enzyme metabolising the more potent S-warfarin enantiomer). This reduces warfarin metabolism and increases INR, with a significant risk of bleeding. Macrolides such as erythromycin and clarithromycin (and similarly the 'azole' antifungals) are classic warfarin interactions. Per NICE NG196 and BNF guidance, the warfarin dose should be reduced or omitted and INR monitored, with vitamin K considered if INR ≥8 or there is bleeding. Alternative antibiotics with less interaction (e.g. doxycycline) may be preferable."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS016,A 71-year-old man taking rivaroxaban 20 mg OD for non-valvular AF is admitted with significant gastrointestinal bleeding. His last dose was 6 hours ago. He is haemodynamically unstable. Which reversal agent is most appropriate?,andexanet alfa,dabigatran,idarucizumab,prothrombin complex concentrate,protamine sulfate,andexanet alfa,"Per BNF, NICE TA697 and the rivaroxaban SmPC: andexanet alfa is the specific reversal agent for factor Xa inhibitors (apixaban, rivaroxaban) in life-threatening or uncontrolled bleeding. It works by binding and sequestering the factor Xa inhibitor. Idarucizumab is the specific reversal agent for dabigatran (direct thrombin inhibitor) — different mechanism. Prothrombin complex concentrate (PCC) is a non-specific reversal option that may be used if andexanet alfa is unavailable. Protamine reverses heparin, not DOACs."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS017,"A 56-year-old man is reviewed for cardiovascular risk assessment in primary care. He has no past medical history of cardiovascular disease, diabetes or chronic kidney disease. His QRISK3 10-year cardiovascular risk score is calculated as 14%. His total cholesterol is 6.2 mmol/L and his BP is 138/86 mmHg. He drinks 20 units of alcohol per week and is a non-smoker. Which is the most appropriate management?",lifestyle advice only and reassess in 5 years,offer atorvastatin 20 mg OD for primary prevention,offer atorvastatin 80 mg OD for primary prevention,offer ezetimibe 10 mg OD,refer to a lipid clinic for specialist assessment,offer atorvastatin 20 mg OD for primary prevention,"Per NICE NG181 (cardiovascular disease: risk assessment and reduction): adults with a 10-year QRISK3 score of ≥10% should be offered atorvastatin 20 mg OD for primary prevention of cardiovascular disease, after lifestyle advice has been discussed. The threshold was lowered from 20% to 10% in 2014. Atorvastatin 80 mg is the secondary-prevention dose (used after CVD events). Ezetimibe is reserved for patients intolerant of statins or as an add-on when LDL target is not met on maximal statin therapy. Lifestyle advice alone is inappropriate at QRISK ≥10%."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS018,"A 49-year-old woman has been taking atorvastatin 80 mg OD for secondary prevention following an MI 6 months ago. Her non-HDL cholesterol on this dose remains at 3.2 mmol/L. Per NICE guidance, the target reduction from baseline non-HDL cholesterol is at least 40%. Her pre-treatment baseline non-HDL cholesterol was 5.8 mmol/L. She has no muscle symptoms. Which is the most appropriate management?",add ezetimibe 10 mg OD,add fenofibrate 200 mg OD,no change required as target reduction is achieved,reduce atorvastatin to 40 mg OD,switch atorvastatin to rosuvastatin 40 mg OD,no change required as target reduction is achieved,"Per NICE NG181, the treatment goal in CVD secondary prevention is a >40% reduction in non-HDL cholesterol from baseline. Calculation: reduction = (5.8 − 3.2) ÷ 5.8 × 100% = 44.8%. This exceeds the 40% target. Ezetimibe would be considered if the target was NOT met. Switching to rosuvastatin or adding fibrates is not first-line if target is achieved. Atorvastatin 80 mg is the recommended dose for secondary prevention and should not be reduced if tolerated."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS019,"A 64-year-old man with newly diagnosed stable angina is started on bisoprolol 2.5 mg OD. He attends the pharmacy 6 weeks later reporting continued exertional chest pain about 3 times per week. His bisoprolol has been titrated to 10 mg OD. He has no other medical conditions. He takes aspirin 75 mg, atorvastatin 80 mg, ramipril 5 mg, and GTN spray PRN. His BP is 132/78 mmHg, pulse 68 bpm regular. Which is the most appropriate additional treatment for symptom control?",amlodipine,diltiazem hydrochloride,isosorbide mononitrate modified-release,nicorandil,ranolazine,amlodipine,"Per NICE NG126 (stable angina): if symptoms are not controlled on monotherapy with a beta-blocker or CCB, the second-line is to add the other class — i.e. add a long-acting dihydropyridine CCB (amlodipine) to the beta-blocker. Rate-limiting CCBs (diltiazem, verapamil) MUST NOT be combined with beta-blockers due to risk of severe bradycardia and AV block. Long-acting nitrates (isosorbide mononitrate), nicorandil, ivabradine and ranolazine are third-line options used when beta-blocker + CCB combination is not tolerated or fails."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,cardiovascular,Cardiovascular Scenarios,CVS020,A 68-year-old patient with stable angina is using GTN 400 micrograms/dose spray for chest pain. He asks the pharmacist when he should consider that the angina is no longer 'stable' and seek emergency help. Which is the most appropriate counselling advice?,call 999 if chest pain occurs more than once a week,"call 999 if pain is not relieved 5 minutes after a second GTN dose, taken 5 minutes after the first",call 999 if pain is not relieved 15 minutes after the first GTN dose,"call 999 if pain occurs at rest, regardless of GTN response",call 999 only if the patient also has new shortness of breath,"call 999 if pain is not relieved 5 minutes after a second GTN dose, taken 5 minutes after the first","Per NICE NG185, NICE CKS (angina) and British Heart Foundation guidance: patients using GTN should be advised that if chest pain persists 5 minutes after a first GTN dose, a second dose should be taken, and if pain persists a further 5 minutes after the second dose (i.e. ~10 minutes total of unrelieved pain), they should call 999. This advice is critical for early recognition of acute coronary syndrome. Pain at rest may indicate unstable angina but the GTN response protocol is the standard practical advice given to patients."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS001,"A 43-year-old woman attends the pharmacy with a prescription for 60 Epilim Chrono (sodium valproate m/r) 500 mg tablets, one tablet twice daily. She has been taking the same dose for 5 years for epilepsy and has an annual neurology review in 4 months. She was independently reviewed by two specialists at her last annual review, with the conclusion that there is no other effective treatment for her. She understands the medication, but you want to offer further counselling. Which action is most important for this patient?",advise that her blood pressure should be monitored regularly,advise that her liver function should be monitored regularly and counsel on symptoms of liver disorder,check she is on a Pregnancy Prevention Programme and understands the patient card and risks in pregnancy,counsel to report any visual effects to a doctor and advise that she should not drive if affected,recommend she avoids overheating during strenuous activity or in a warm environment,check she is on a Pregnancy Prevention Programme and understands the patient card and risks in pregnancy,"Per MHRA Drug Safety Updates (January 2024 and September 2024) and GPhC valproate guidance: women of childbearing potential taking valproate must be enrolled in the Pregnancy Prevention Programme (PPP). At each dispensing, the pharmacist must confirm the patient understands the risks (~11% congenital malformations, 30–40% neurodevelopmental disorders), is using effective contraception, and has signed the Annual Risk Acknowledgement Form. Since January 2024, valproate must not be initiated in any new patient under 55 (male or female) unless two specialists independently document there is no alternative — which has been completed in this case."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS002,"A 28-year-old man with newly diagnosed epilepsy is being considered for treatment with valproate. He has had two generalised tonic-clonic seizures and EEG/MRI investigations are complete. The neurologist documents that other anti-epileptic options have been tried or considered but are not appropriate. Per current MHRA guidance, what additional regulatory requirement must be met before valproate can be initiated?",a second independent specialist must agree there is no alternative effective treatment,only a community pharmacist needs to counter-sign the prescription,the patient must complete a 6-month trial of two alternatives first,the patient must have a negative pregnancy test (despite being male),two prescriptions from the same neurologist must be issued,a second independent specialist must agree there is no alternative effective treatment,"Per MHRA Drug Safety Update January 2024, since 31 January 2024 valproate must not be initiated in any new patient (male or female) under 55 years unless two specialists independently consider and document that there is no other effective or tolerated treatment, or there are compelling reasons that the reproductive risks do not apply. This requirement applies to both sexes following emerging evidence of paternal valproate exposure being associated with neurodevelopmental disorders in offspring (MHRA September 2024 update)."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS003,A 32-year-old woman with epilepsy is taking lamotrigine 200 mg twice daily. She is planning pregnancy and asks about folic acid. Which is the most appropriate advice?,no folic acid is required as lamotrigine has minimal teratogenic risk,take folic acid 400 micrograms OD from conception until 12 weeks gestation,take folic acid 5 mg OD from preconception until at least 12 weeks gestation,take folic acid 5 mg OD from the second trimester onwards,take folic acid 5 mg OD only if neural tube defect occurs in a previous pregnancy,take folic acid 5 mg OD from preconception until at least 12 weeks gestation,"Per BNF, UK Teratology Information Service (UKTIS) and RCOG guidance: women taking anti-epileptic drugs (including lamotrigine) are at increased risk of neural tube defects and should take high-dose folic acid 5 mg daily from preconception until at least 12 weeks of pregnancy. The standard 400 micrograms dose is insufficient. Lamotrigine is one of the preferred AEDs in pregnancy but pre-conception planning is still essential."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS004,"A 19-year-old woman presents to the pharmacy reporting a widespread red rash that started 10 days after starting lamotrigine 25 mg OD for newly diagnosed epilepsy. The rash is on her trunk and limbs, with some target lesions, and is associated with mild fever and mouth ulcers. Which is the most appropriate action?",advise to continue lamotrigine and apply hydrocortisone 1% cream,arrange same-day GP appointment for assessment,recommend chlorphenamine 4 mg every 6 hours,refer the patient urgently to A&E,"reassure that this is a common, self-limiting side effect",refer the patient urgently to A&E,"Per BNF lamotrigine monograph and MHRA guidance: lamotrigine is associated with a risk of serious skin reactions including Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN), particularly in the first 8 weeks of treatment and when the recommended titration schedule is exceeded. Target lesions, mucosal involvement (mouth ulcers) and systemic features (fever) are red-flag features of SJS. Urgent A&E referral is mandatory — SJS/TEN have significant mortality without rapid recognition and treatment."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS005,"A 35-year-old woman with no past medical history presents to the GP with a 3-month history of low mood, anhedonia and poor sleep. She is diagnosed with more severe depression (PHQ-9 score 18). She declines psychological therapy and prefers medication. She has no contraindications. Per NICE NG222, which is the most appropriate first-line drug treatment?",amitriptyline 75 mg ON,citalopram 20 mg OD,mirtazapine 30 mg ON,phenelzine 15 mg TDS,venlafaxine 75 mg OD,citalopram 20 mg OD,"Per NICE NG222 (depression in adults), SSRIs (e.g. sertraline, citalopram, fluoxetine) are first-line antidepressant pharmacotherapy due to a favourable balance of efficacy, tolerability and safety in overdose. They have replaced tricyclic antidepressants as first-line. Mirtazapine and venlafaxine are alternative first-line options but are not the most commonly chosen. Phenelzine is an MAOI used as further-line treatment. Amitriptyline is highly toxic in overdose and not first-line."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS006,"A 58-year-old man has been taking sertraline 100 mg OD for 18 months for depression. He is well, with no symptoms, and the GP has agreed to discontinue treatment. Which is the most appropriate advice on stopping sertraline?",gradually taper the dose over 4 or more weeks to minimise withdrawal symptoms,reduce the dose to 50 mg OD for 1 week then stop,stop sertraline abruptly as it has a long half-life,switch to fluoxetine 20 mg OD for 2 weeks and then stop,take alternate-day doses for 1 month then stop,gradually taper the dose over 4 or more weeks to minimise withdrawal symptoms,"Per NICE NG222 and MHRA guidance on antidepressant discontinuation: when stopping an antidepressant, the dose should be reduced gradually (usually over 4 weeks or longer, sometimes much longer) in steps to minimise withdrawal symptoms. Sertraline has a short half-life and abrupt withdrawal commonly causes 'discontinuation syndrome' (dizziness, headache, flu-like symptoms, electric-shock sensations, mood changes). Fluoxetine switching is a strategy occasionally used for difficult discontinuations but is not first-line for routine stopping."
CLN,Clinical Scenarios for the GPhC Pre-Reg Exam,central-nervous-system,Central Nervous System Scenarios,CNS007,"A 76-year-old woman with depression and chronic kidney disease (eGFR 38 mL/min/1.73m²) develops drowsiness, confusion, and a serum sodium of 122 mmol/L (normal 133–146) 4 weeks after starting citalopram 20 mg OD. Which is the most likely cause?",acute kidney injury,citalopram-induced syndrome of inappropriate antidiuretic hormone secretion (SIADH),dehydration,heart failure with diuretic effect,primary hypothyroidism,citalopram-induced syndrome of inappropriate antidiuretic hormone secretion (SIADH),"Per BNF and MHRA Drug Safety Update: SSRIs (especially in older adults) can cause SIADH, leading to hyponatraemia. Risk factors include age >65, female sex, low BMI, concomitant diuretics, and renal impairment. The classic presentation is drowsiness/confusion with low serum sodium within weeks of starting therapy. NICE recommends checking sodium at baseline and if symptoms develop. Management: stop the SSRI, restrict fluid, and consider an alternative class (e.g. mirtazapine has lower SIADH risk)."
