topic_id,question_id,question_text,option_1,option_2,option_3,option_4,option_5,correct_answer,explanation
compounding,COM048,You need to compound 100 mL of a 0.2% w/v lidocaine solution for oral use. How many grams of lidocaine are required?,0.1 g,0.15 g,0.2 g,0.25 g,0.3 g,0.2 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = 0.2 g.
formulation,FOR031,A pharmacist needs to prepare 100 mL of a 0.2% w/v chloramphenicol eye drop solution. How many grams of chloramphenicol are required?,0.1 g,0.15 g,0.2 g,0.25 g,0.3 g,0.2 g,0.2% w/v means 0.2 g per 100 mL. Amount needed = 0.2 g.
unit,UNI037,A medication comes in a concentration of 0.2% w/v. How many milligrams of drug are in 50 mL of solution?,10 mg,50 mg,100 mg,200 mg,500 mg,100 mg,"0.2% w/v means 0.2 g per 100 mL. So, (0.2 g / 100 mL) × 50 mL = 0.1 g = 100 mg."
dilution,DIL086,You have 150 mL of a 0.2% w/v solution. How many grams of solute are present?,0.2 g,0.3 g,0.4 g,0.5 g,0.6 g,0.3 g,0.2% w/v means 0.2 g per 100 mL. Total grams = (0.2 g/100 mL) × 150 mL = 0.3 g.
dilution,DIL126,You have 150 mL of a 0.2% w/v solution. How many grams of solute are present?,0.2 g,0.3 g,0.4 g,0.5 g,0.6 g,0.3 g,0.2% w/v means 0.2 g per 100 mL. Total grams = (0.2 g/100 mL) × 150 mL = 0.3 g.
calculation,CAL095,A pharmacist needs to prepare 400 mL of a 0.25% solution. How many grams of solute are required?,1 g,0.1 g,0.25 g,0.5 g,2 g,1 g,"0.25% means 0.25 g in 100 mL. Therefore, in 400 mL: (0.25 g / 100 mL) × 400 mL = 1 g."
calculation,CAL039,A medication is available as a 0.25% w/v solution. How many grams of the drug are in 150 mL?,0.375 g,0.0375 g,0.75 g,0.15 g,0.25 g,0.375 g,"0.25% w/v means 0.25 g in 100 mL. Therefore, in 150 mL: (0.25 g / 100 mL) × 150 mL = 0.375 g."
dilution,DIL124,How many milliliters of a 0.25% w/v solution are needed to obtain 500 mg of the solute?,100 mL,150 mL,200 mL,250 mL,300 mL,200 mL,0.25% w/v means 0.25 g per 100 mL = 250 mg per 100 mL. Set up a proportion: 250 mg : 100 mL = 500 mg : X mL. X = (500 mg × 100 mL) ÷ 250 mg = 200 mL.
liquid,LIQ010,You need to prepare 250 mL of a 0.25% w/v syrup. How many grams of the active ingredient are required?,0.5 g,0.625 g,0.75 g,0.875 g,1 g,0.625 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 250 mL = 0.625 g.
liquid,LIQ072,You need to prepare 400 mL of a 0.25% w/v potassium chloride solution. How many grams of potassium chloride are required?,0.5 g,1.0 g,1.5 g,2.0 g,2.5 g,1.0 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 400 mL = 1.0 g.
liquid,LIQ036,You need to prepare 50 mL of a 0.25% w/v solution. How many grams of the active ingredient are required?,0.1 g,0.125 g,0.15 g,0.175 g,0.2 g,0.125 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 50 mL = 0.125 g.
liquid,LIQ053,A syrup formulation contains 0.25% w/v of Drug B and 10% w/v of sugar. How many grams of Drug B are needed to prepare 500 mL of this syrup?,1.25 g,1.5 g,1.75 g,2.0 g,2.5 g,1.25 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 500 mL = 1.25 g.
liquid,LIQ020,"To prepare 600 mL of a 0.25% w/v glucose syrup, how many grams of glucose are required?",0.75 g,1.0 g,1.25 g,1.5 g,1.75 g,1.5 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 600 mL = 1.5 g.
liquid,LIQ093,A pharmacist is preparing 800 mL of a 0.25% w/v syrup. How many grams of Drug Z are required?,1.5 g,2.0 g,2.5 g,3.0 g,3.5 g,2.0 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = (0.25 g/100 mL) × 800 mL = 2.0 g.
compounding,COM028,"To prepare 100 mL of a 0.25% w/v ophthalmic solution, how many milligrams of the active drug are required?",150 mg,200 mg,250 mg,300 mg,350 mg,250 mg,0.25% w/v means 0.25 g per 100 mL. Amount needed = 0.25 g = 250 mg.
liquid,LIQ086,"To prepare 100 mL of a 0.25% w/v syrup, how many grams of Drug W are required?",0.25 g,0.5 g,0.75 g,1.0 g,1.25 g,0.25 g,0.25% w/v means 0.25 g per 100 mL. Amount needed = 0.25 g.
liquid,LIQ028,"To prepare 300 mL of a 0.3% w/v sodium benzoate solution, how many grams of sodium benzoate are needed?",0.3 g,0.6 g,0.8 g,1.0 g,1.2 g,0.9 g,0.3% w/v means 0.3 g per 100 mL. Amount needed = (0.3 g/100 mL) × 300 mL = 0.9 g.
liquid,LIQ056,"To prepare 300 mL of a 0.3% w/v syrup, how many grams of Drug E are required?",0.6 g,0.75 g,0.9 g,1.2 g,1.5 g,0.9 g,0.3% w/v means 0.3 g per 100 mL. Amount needed = (0.3 g/100 mL) × 300 mL = 0.9 g.
liquid,LIQ040,"To prepare 500 mL of a 0.3% w/v syrup, how many grams of the active ingredient are required?",1.0 g,1.2 g,1.5 g,1.8 g,2.0 g,1.5 g,0.3% w/v means 0.3 g per 100 mL. Amount needed = (0.3 g/100 mL) × 500 mL = 1.5 g.
liquid,LIQ090,"To prepare 100 mL of a 0.3% w/v solution, how many grams of the active ingredient are required?",0.15 g,0.3 g,0.45 g,0.6 g,0.75 g,0.3 g,0.3% w/v means 0.3 g per 100 mL. Amount needed = 0.3 g.
interpretation,INT027,Decipher the prescription: 'Nitroglycerin 0.4 mg/hour IV'. How many milligrams of Nitroglycerin will the patient receive over 24 hours?,4.8 mg,8 mg,12 mg,16 mg,20 mg,9.6 mg,0.4 mg/hour × 24 hours = 9.6 mg.
dilution,DIL119,How many milliliters of a 0.4% w/v solution are needed to obtain 800 mg of the solute?,100 mL,150 mL,200 mL,250 mL,300 mL,200 mL,0.4% w/v means 0.4 g per 100 mL = 400 mg per 100 mL. Set up a proportion: 400 mg : 100 mL = 800 mg : X mL. X = (800 mg × 100 mL) ÷ 400 mg = 200 mL.
liquid,LIQ032,"To prepare 200 mL of a 0.4% w/v syrup, how many grams of Drug O are required?",0.4 g,0.6 g,0.8 g,1.0 g,1.2 g,0.8 g,0.4% w/v means 0.4 g per 100 mL. Amount needed = (0.4 g/100 mL) × 200 mL = 0.8 g.
liquid,LIQ074,"To prepare 200 mL of a 0.4% w/v syrup, how many grams of Drug P are required?",0.6 g,0.8 g,1.0 g,1.2 g,1.4 g,0.8 g,0.4% w/v means 0.4 g per 100 mL. Amount needed = (0.4 g/100 mL) × 200 mL = 0.8 g.
liquid,LIQ062,You need to prepare 250 mL of a 0.4% w/v syrup. How many grams of the active ingredient are required?,0.8 g,1.0 g,1.2 g,1.5 g,2.0 g,1.0 g,0.4% w/v means 0.4 g per 100 mL. Amount needed = (0.4 g/100 mL) × 250 mL = 1.0 g.
liquid,LIQ022,You are preparing 400 mL of a syrup with a concentration of 0.4 g per mL. How many grams of Drug O are required?,0.4 g,0.6 g,0.8 g,1.0 g,1.2 g,0.8 g,0.4% w/v means 0.4 g per 100 mL. Amount needed = (0.4 g/100 mL) × 400 mL = 0.8 g.
liquid,LIQ112,You need to prepare 500 mL of a 0.4% w/v sodium benzoate solution. How many grams of sodium benzoate are required?,1.5 g,2.0 g,2.5 g,3.0 g,3.5 g,2.0 g,0.4% w/v means 0.4 g per 100 mL. Amount needed = (0.4 g/100 mL) × 500 mL = 2.0 g.
dilution,DIL006,How many grams of NaCl are needed to prepare 250 mL of a 0.45% w/v saline solution?,0.9 g,1.125 g,1.5 g,2.25 g,2.5 g,1.125 g,0.45% w/v means 0.45 g per 100 mL. Total grams needed = (0.45 g/100 mL) × 250 mL = 1.125 g.
calculation,CAL120,A cream contains 0.5% w/w of an active ingredient. How many grams are in 60 g of the cream?,0.3 g,3 g,0.03 g,0.6 g,0.15 g,0.3 g,"0.5% means 0.5 g in 100 g. Therefore, in 60 g: (0.5 g / 100 g) × 60 g = 0.3 g."
calculation,CAL097,A solution contains 0.5% w/v of a drug. How many grams are in 2 liters of this solution?,10 g,1 g,5 g,0.5 g,2 g,10 g,"0.5% means 0.5 g in 100 mL. Therefore, in 2000 mL: (0.5 g / 100 mL) × 2000 mL = 10 g."
formulation,FOR044,A solution contains 0.5% w/v of Drug X. How many milligrams are in 30 mL of this solution?,100 mg,125 mg,150 mg,200 mg,250 mg,150 mg,0.5% w/v means 0.5 g per 100 mL. Amount in 30 mL = (0.5 g/100 mL) × 30 mL = 0.15 g = 150 mg.
compounding,COM022,You are preparing 200 mL of a 0.5% w/v solution for irrigation. How many grams of solute are required?,0.5 g,0.75 g,1 g,1.25 g,1.5 g,1 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 200 mL = 1 g.
formulation,FOR036,You need to make 200 mL of a 0.5% w/v lidocaine solution using lidocaine hydrochloride (MW = 270 g/mol). How many grams are required?,2 g,4 g,5 g,6 g,7 g,5 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 200 mL = 1 g.
liquid,LIQ004,"To prepare 250 mL of a 0.5% w/v chlorhexidine gluconate solution, how many grams of chlorhexidine gluconate are required?",0.5 g,0.75 g,1 g,1.25 g,1.5 g,1.25 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 250 mL = 1.25 g.
liquid,LIQ047,A pharmacist needs to prepare 400 mL of a 0.5% w/v syrup. How many grams of Drug X are required?,1.5 g,2.0 g,2.5 g,3.0 g,3.5 g,2.0 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 400 mL = 2.0 g.
liquid,LIQ108,You need to prepare 400 mL of a 0.5% w/v solution. How many grams of the active ingredient are required?,1.0 g,1.5 g,2.0 g,2.5 g,3.0 g,2.0 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 400 mL = 2.0 g.
compounding,COM008,"To prepare 50 mL of a 0.5% w/v lidocaine solution for topical use, how many grams of lidocaine are required?",0.1 g,0.15 g,0.25 g,0.5 g,0.75 g,0.25 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 50 mL = 0.25 g.
compounding,COM042,"To prepare 60 mL of a 0.5% w/v dexamethasone ophthalmic solution, how many milligrams of dexamethasone are required?",200 mg,250 mg,300 mg,400 mg,500 mg,300 mg,0.5% w/v means 0.5 g per 100 mL. Amount needed = (0.5 g/100 mL) × 60 mL = 0.3 g = 300 mg.
liquid,LIQ058,You need to prepare 100 mL of a 0.5% w/v solution using Drug G. How many grams of Drug G are required?,0.25 g,0.5 g,0.75 g,1.0 g,1.25 g,0.5 g,0.5% w/v means 0.5 g per 100 mL. Amount needed = 0.5 g.
liquid,LIQ038,"To prepare 300 mL of a 0.6% w/v glucose solution, how many grams of glucose are required?",1.2 g,1.5 g,1.8 g,2.0 g,2.5 g,1.8 g,0.6% w/v means 0.6 g per 100 mL. Amount needed = (0.6 g/100 mL) × 300 mL = 1.8 g.
liquid,LIQ092,You need to prepare 350 mL of a 0.6% w/v syrup. How many grams of the active ingredient are required?,1.5 g,2.0 g,2.1 g,2.5 g,3.0 g,2.1 g,0.6% w/v means 0.6 g per 100 mL. Amount needed = (0.6 g/100 mL) × 350 mL = 2.1 g.
liquid,LIQ069,A pharmacist is preparing 500 mL of a 0.6% w/v solution. How many grams of the active ingredient are required?,1.5 g,2.0 g,2.5 g,3.0 g,3.5 g,3.0 g,0.6% w/v means 0.6 g per 100 mL. Amount needed = (0.6 g/100 mL) × 500 mL = 3.0 g.
liquid,LIQ024,"To prepare 800 mL of a 0.6% w/v sodium benzoate solution, how many grams of sodium benzoate are needed?",3 g,4.8 g,6 g,8 g,10 g,4.8 g,0.6% w/v means 0.6 g per 100 mL. Amount needed = (0.6 g/100 mL) × 800 mL = 4.8 g.
liquid,LIQ016,"To prepare 150 mL of a 0.75% w/v solution, how many grams of the active ingredient are required?",0.75 g,1.0 g,1.125 g,1.5 g,2.25 g,1.125 g,0.75% w/v means 0.75 g per 100 mL. Amount needed = (0.75 g/100 mL) × 150 mL = 1.125 g.
liquid,LIQ030,You need to prepare 150 mL of a 0.75% w/v syrup. How many grams of Drug M are required?,0.75 g,1.0 g,1.125 g,1.5 g,2 g,1.125 g,0.75% w/v means 0.75 g per 100 mL. Amount needed = (0.75 g/100 mL) × 150 mL = 1.125 g.
liquid,LIQ080,You need to prepare 300 mL of a 0.75% w/v syrup. How many grams of Drug S are required?,1.0 g,1.5 g,2.0 g,2.25 g,2.5 g,2.25 g,0.75% w/v means 0.75 g per 100 mL. Amount needed = (0.75 g/100 mL) × 300 mL = 2.25 g.
liquid,LIQ060,"To prepare 400 mL of a 0.75% w/v syrup, how many grams of Drug H are required?",1.0 g,2.0 g,2.5 g,3.0 g,3.5 g,3.0 g,0.75% w/v means 0.75 g per 100 mL. Amount needed = (0.75 g/100 mL) × 400 mL = 3.0 g.
liquid,LIQ105,A pharmacist is preparing 100 mL of a 0.75% w/v solution. How many grams of Drug H are required?,0.5 g,0.6 g,0.75 g,0.9 g,1.0 g,0.75 g,0.75% w/v means 0.75 g per 100 mL. Amount needed = 0.75 g.
liquid,LIQ012,"To prepare 500 mL of a 0.8% w/v syrup, how many grams of the active ingredient are required?",3 g,4 g,4 g,4 g,4 g,4 g,0.8% w/v means 0.8 g per 100 mL. Amount needed = (0.8 g/100 mL) × 500 mL = 4 g.
liquid,LIQ050,You need to prepare 500 mL of a 0.8% w/v syrup using Drug Z. How many grams of Drug Z are required?,2.0 g,3.0 g,4.0 g,4.0 g,5.0 g,4.0 g,0.8% w/v means 0.8 g per 100 mL. Amount needed = (0.8 g/100 mL) × 500 mL = 4.0 g.
calculation,CAL078,A solution contains 0.9% sodium chloride. How many milligrams of sodium chloride are in 5 mL?,45 mg,4.5 mg,90 mg,9 mg,0.45 mg,45 mg,"0.9% means 0.9 g in 100 mL. Therefore, in 5 mL: (0.9 g / 100 mL) × 5 mL = 0.045 g = 45 mg."
calculation,CAL053,A pharmacist needs to make 500 mL of a 0.9% sodium chloride solution using water and sodium chloride. How many grams of sodium chloride are needed?,4.5 g,0.9 g,9 g,5 g,3.6 g,4.5 g,"0.9% means 0.9 g in 100 mL. Therefore, in 500 mL: (0.9 g / 100 mL) × 500 mL = 4.5 g."
liquid,LIQ102,"To prepare 250 mL of a 0.9% w/v solution, how many grams of the active ingredient are required?",2.0 g,2.25 g,2.5 g,2.75 g,3.0 g,2.25 g,0.9% w/v means 0.9 g per 100 mL. Amount needed = (0.9 g/100 mL) × 250 mL = 2.25 g.
liquid,LIQ116,You need to prepare 300 mL of a 0.9% w/v syrup. How many grams of Drug M are required?,2.0 g,2.5 g,3.0 g,3.5 g,4.0 g,2.7 g,0.9% w/v means 0.9 g per 100 mL. Amount needed = (0.9 g/100 mL) × 300 mL = 2.7 g.
compounding,COM012,"To prepare 500 mL of a 0.9% sodium chloride irrigation solution, how many grams of sodium chloride are required?",3.5 g,4 g,4.5 g,5 g,5.5 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Amount needed = (0.9 g/100 mL) × 500 mL = 4.5 g.
unit,UNI068,A solution contains 0.9% sodium chloride. How many grams of sodium chloride are in 500 mL of solution?,1 g,2 g,3 g,4 g,4.5 g,4.5 g,"0.9% w/v means 0.9 g per 100 mL. So, (0.9 g / 100 mL) × 500 mL = 4.5 g."
dilution,DIL067,A pharmacist needs to prepare 2 liters of a 0.9% w/v saline solution. How many grams of NaCl are required?,9 g,12 g,15 g,18 g,20 g,18 g,"0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 2,000 mL = 18 g."
dilution,DIL053,How many grams of potassium chloride are needed to prepare 500 mL of a 0.9% w/v saline solution?,2 g,3.5 g,4.5 g,5 g,9 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 500 mL = 4.5 g.
dilution,DIL075,You have 500 mL of a 0.9% w/v saline solution. How many grams of NaCl are in the solution?,2 g,3.5 g,4.5 g,5 g,9 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 500 mL = 4.5 g.
dilution,DIL093,How many grams of potassium chloride are needed to prepare 500 mL of a 0.9% w/v saline solution?,2 g,3.5 g,4.5 g,5 g,9 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 500 mL = 4.5 g.
dilution,DIL107,How many grams of potassium chloride are needed to prepare 500 mL of a 0.9% w/v saline solution?,2 g,3.5 g,4.5 g,5 g,9 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 500 mL = 4.5 g.
dilution,DIL115,How many grams of solute are in 500 mL of a 0.9% w/v saline solution?,2 g,3.5 g,4.5 g,5 g,9 g,4.5 g,0.9% w/v means 0.9 g per 100 mL. Total grams = (0.9 g/100 mL) × 500 mL = 4.5 g.
dispensing,DIS100,"A prescription is written for 'Adrenaline 1 in 1,000 ampoules.' How is this concentration expressed in mg/mL?",0.1 mg/mL,1 mg/mL,10 mg/mL,0.01 mg/mL,100 mg/mL,1 mg/mL,"1 in 1,000' concentration means 1 gram in 1,000 mL, which equals 1 mg/mL. This is the standard concentration for adrenaline used in emergency situations like anaphylaxis."
formulation,FOR038,"A solution is labeled as 1 in 10,000 w/v. How many milligrams of solute are present in 50 mL of this solution?",0.25 mg,0.5 mg,0.75 mg,1 mg,1.25 mg,0.25 mg,"1 in 10,000 means 1 g in 10,000 mL. Amount in 50 mL = (1 g/10,000 mL) × 50 mL = 0.005 g = 5 mg."
dilution,DIL020,"A nurse needs to prepare a 1 in 10,000 adrenaline solution for an emergency. How many milligrams of adrenaline are in 1 mL of this solution?",0.01 mg,0.1 mg,1 mg,10 mg,100 mg,0.1 mg,"1 in 10,000 means 1 g in 10,000 mL. Convert 1 g to mg: 1 g = 1,000 mg. Concentration = 1,000 mg / 10,000 mL = 0.1 mg/mL."
calculation,CAL110,A prescription requires 200 mL of a 1 in 1000 solution. How many grams of solute are required?,0.2 g,2 g,0.02 g,0.5 g,0.1 g,0.2 g,"1 in 1000 means 1 g in 1000 mL. Therefore, in 200 mL: (1 g / 1000 mL) × 200 mL = 0.2 g."
compounding,COM010,"You need to compound 100 mL of a 1 in 2,000 epinephrine solution for a sterile ophthalmic preparation. How many milligrams of epinephrine are required?",25 mg,50 mg,75 mg,100 mg,125 mg,50 mg,"1 in 2,000 means 1 g in 2,000 mL. Amount needed = (1 g/2,000 mL) × 100 mL = 0.05 g = 50 mg."
formulation,FOR064,"A solution is labeled as 1 in 20,000 w/v. How many milligrams of solute are present in 50 mL of this solution?",2.5 mg,5 mg,7.5 mg,10 mg,12.5 mg,2.5 mg,"1 in 20,000 means 1 g in 20,000 mL. Amount in 50 mL = (1 g/20,000 mL) × 50 mL = 0.0025 g = 2.5 mg."
formulation,FOR077,"A solution is labeled as 1 in 20,000 w/v. How many milligrams of solute are present in 50 mL of this solution?",2.5 mg,5 mg,7.5 mg,10 mg,12.5 mg,2.5 mg,"1 in 20,000 means 1 g in 20,000 mL. Amount in 50 mL = (1 g/20,000 mL) × 50 mL = 0.0025 g = 2.5 mg."
calculation,CAL050,How many milliliters of a 1 in 200 w/v solution contain 500 mg of solute?,100 mL,50 mL,200 mL,250 mL,150 mL,100 mL,"1 in 200 means 1 g in 200 mL. Therefore, concentration = 5 mg/mL. Volume needed = Dose / Concentration = 500 mg / 5 mg/mL = 100 mL."
calculation,CAL099,A prescription calls for 250 mL of a 1 in 2000 solution. How many grams of solute are required?,0.125 g,1.25 g,0.25 g,0.5 g,2.5 g,0.125 g,"1 in 2000 means 1 g in 2000 mL. Therefore, in 250 mL: (1 g / 2000 mL) × 250 mL = 0.125 g."
